"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2012-05-22","81.1","-0.99","6.71","Beachy, Brandon",452672,545404,,"called_strike",,,,,"1","Ryan Hanigan flies out to center fielder Michael Bourn.","R","R","R","CIN","ATL","S",,,"0","0",2012,"0.33","0.25","-0.46","3.36",,,,"0","5","Bot",,,,,"424325",,"120522_202849",0.23,-118.1,-1.1,4.77,19.55,-31.64,"3.26","1.56",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"36","1","Slider","4","2","4","2","2","4","4","2",,,,"0","-0.035"
"CH","2012-05-22","79.8","-1.23","6.26","Beachy, Brandon",111867,545404,"field_out","hit_into_play",,,,,"2","Miguel Cairo flies out to center fielder Michael Bourn.","R","R","R","CIN","ATL","X","8","fly_ball","0","1",2012,"-1.43","1.19","0.02","2.92",,,,"2","4","Bot",124.5,91.37,,,"424325",,"120522_202050",5.68,-116.01,-2.78,-12.9,19.09,-22.58,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"32","2","Changeup","4","2","4","2","2","4","4","2",,,,"-0.007","-0.083"
"FF","2012-05-22","90.3","-0.85","6.42","Beachy, Brandon",111867,545404,,"called_strike",,,,,"8","Miguel Cairo flies out to center fielder Michael Bourn.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.47","1.84","0.02","1.77",,,,"2","4","Bot",,,,,"424325",,"120522_202035",3.1,-131.17,-9.79,-4.34,25.14,-11.96,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"32","1","4-Seam Fastball","4","2","4","2","2","4","4","2",,,,"0","-0.016"
"SL","2012-05-22","80.7","-0.75","6.71","Beachy, Brandon",502317,545404,"field_out","hit_into_play",,,,,"12","Chris Heisey grounds out, third baseman Juan Francisco to first baseman Freddie Freeman.","R","R","R","CIN","ATL","X","5","ground_ball","0","0",2012,"0.37","0.24","0.85","2.85",,,,"1","4","Bot",107.43,178.71,,,"424325",,"120522_202000",2.64,-117.44,-2.24,5.15,18.33,-31.73,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"31","1","Slider","4","2","4","2","2","4","4","2",,,,"-0.011","-0.157"
"FF","2012-05-22","90.0","-0.92","6.35","Beachy, Brandon",457803,545404,"field_out","hit_into_play",,,,,"13","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","X","4","ground_ball","1","1",2012,"-0.08","1.63","-0.31","1.58",,,,"0","4","Bot",135.54,150.6,,,"424325",,"120522_201925",1.45,-130.78,-9.55,0.67,25.04,-14.6,"3.72","1.74",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"30","3","4-Seam Fastball","4","2","4","2","2","4","4","2",,,,"-0.014","-0.22"
"SL","2012-05-22","79.6","-0.62","6.6","Beachy, Brandon",457803,545404,,"ball",,,,,"14","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","B",,,"0","1",2012,"-0.11","0.28","0.95","1.41",,,,"0","4","Bot",,,,,"424325",,"120522_201911",3.58,-115.75,-5.12,0.17,18.47,-31.36,"3.72","1.74",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"30","2","Slider","4","2","4","2","2","4","4","2",,,,"0","0.026"
"SL","2012-05-22","80.8","-0.8","6.59","Beachy, Brandon",457803,545404,,"called_strike",,,,,"9","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","S",,,"0","0",2012,"0.3","0.11","0.46","1.55",,,,"0","4","Bot",,,,,"424325",,"120522_201859",2.02,-117.54,-4.67,4.34,20.17,-32.95,"3.82","1.6",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"30","1","Slider","4","2","4","2","2","4","4","2",,,,"0","-0.035"
"FF","2012-05-22","90.0","-0.71","6.59","Beachy, Brandon",408252,545404,"home_run","hit_into_play",,,,,"5","Brandon Phillips homers (4) on a fly ball to right field.","R","R","R","CIN","ATL","X",,"fly_ball","0","0",2012,"0.08","2.05","0.14","2.27",,,,"0","4","Bot",191.77,46.18,,,"424325",,"120522_201812",1.68,-130.84,-9.27,2.64,27.87,-9.79,"3.14","1.5",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"2",,"0","3",,"29","1","4-Seam Fastball","3","2","3","2","2","4","4","2",,,,"0.103","1"
"FF","2012-05-22","91.2","-0.63","6.46","Beachy, Brandon",458015,545404,"field_out","hit_into_play",,,,,"12","Joey Votto grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","X","4","ground_ball","0","1",2012,"-0.26","1.81","1.15","2.88",,,,"2","3","Bot",139.56,155.62,,,"424325",,"120522_200103",5.01,-132.52,-7.22,-1.71,23.28,-11.69,"3.51","1.64",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"23","2","4-Seam Fastball","3","1","3","1","1","3","3","1",,,,"-0.008","-0.083"
"FF","2012-05-22","92.3","-0.88","6.38","Beachy, Brandon",458015,545404,,"foul",,,,,"2","Joey Votto grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","S",,,"0","0",2012,"-0.62","2.09","0.21","2.95",,,,"2","3","Bot",,,,,"424325",,"120522_200045",4.12,-134.2,-7.64,-6.5,27.11,-7.82,"3.51","1.64",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"23","1","4-Seam Fastball","3","1","3","1","1","3","3","1",,,,"0","-0.016"
"SL","2012-05-22","82.9","-0.9","6.59","Beachy, Brandon",453211,545404,"field_out","hit_into_play",,,,,"6","Drew Stubbs grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","X","6","ground_ball","0","0",2012,"0.12","0.4","0.54","2.58",,,,"1","3","Bot",111.45,157.63,,,"424325",,"120522_200011",2.88,-120.58,-3.37,2.72,18.83,-30.04,"3.55","1.64",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"22","1","Slider","3","1","3","1","1","3","3","1",,,,"-0.011","-0.157"
"FF","2012-05-22","90.8","-0.88","6.33","Beachy, Brandon",446359,545404,"home_run","hit_into_play",,,,,"5","Zack Cozart homers (5) on a fly ball to center field.","R","R","R","CIN","ATL","X",,"fly_ball","1","1",2012,"-0.42","1.58","0.05","2.51",,,,"1","3","Bot",95.38,30.12,,,"424325",,"120522_195923",3.13,-132.04,-7.22,-3.69,23.72,-14.75,"3.39","1.54",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"2",,"0","3",,"21","3","4-Seam Fastball","2","1","2","1","1","3","3","1",,,,"0.104","1.007"
"FF","2012-05-22","92.1","-0.68","6.32","Beachy, Brandon",446359,545404,,"ball",,,,,"14","Zack Cozart homers (5) on a fly ball to center field.","R","R","R","CIN","ATL","B",,,"0","1",2012,"-0.23","1.88","1.33","2.03",,,,"1","3","Bot",,,,,"424325",,"120522_195909",5.56,-133.73,-9.31,-1.25,27.25,-10.78,"3.39","1.54",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"21","2","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","0.018"
"FF","2012-05-22","90.6","-0.74","6.39","Beachy, Brandon",446359,545404,,"foul",,,,,"6","Zack Cozart homers (5) on a fly ball to center field.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.52","2","0.54","2.50",,,,"1","3","Bot",,,,,"424325",,"120522_195850",4.28,-131.72,-8.25,-4.92,25.96,-9.89,"3.39","1.54",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"21","1","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.025"
"FF","2012-05-22","91.6","-0.76","6.42","Beachy, Brandon",502009,545404,"strikeout","called_strike",,,,,"5","Mat Latos called out on strikes.","R","R","R","CIN","ATL","S","2",,"0","2",2012,"-0.58","2.02","0.21","2.71",,,,"0","3","Bot",,,,,"424325",,"120522_195819",3.65,-133.24,-8.04,-5.87,27.06,-9.19,"3.55","1.59",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"20","3","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"-0.02","-0.145"
"FF","2012-05-22","91.1","-0.76","6.48","Beachy, Brandon",502009,545404,,"swinging_strike",,,,,"2","Mat Latos called out on strikes.","R","R","R","CIN","ATL","S",,,"0","1",2012,"-0.23","2.17","-0.15","3.05",,,,"0","3","Bot",,,,,"424325",,"120522_195802",1.83,-132.55,-7.54,-1.25,28.02,-7.62,"3.55","1.59",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"20","2","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.05"
"FF","2012-05-22","89.3","-0.84","6.4","Beachy, Brandon",502009,545404,,"called_strike",,,,,"7","Mat Latos called out on strikes.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.22","1.78","-0.51","2.11",,,,"0","3","Bot",,,,,"424325",,"120522_195750",1.06,-129.75,-8.52,-1.1,23.77,-13.02,"3.55","1.59",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"20","1","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.035"
"FF","2012-05-22","89.8","-0.76","6.57","Beachy, Brandon",452672,545404,"field_out","hit_into_play",,,,,"2","Ryan Hanigan flies out to center fielder Michael Bourn.","R","R","R","CIN","ATL","X","8","fly_ball","0","0",2012,"-0.04","1.69","0.02","2.94",,,,"2","2","Bot",128.51,102.41,,,"424325",,"120522_194634",1.82,-130.62,-6.6,1.06,27.63,-14.14,"3.26","1.56",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"15","1","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"-0.009","-0.099"
"FF","2012-05-22","89.7","-0.75","6.39","Beachy, Brandon",111867,545404,"field_out","hit_into_play",,,,,"6","Miguel Cairo flies out to right fielder Jason Heyward.","R","R","R","CIN","ATL","X","9","fly_ball","1","1",2012,"-0.27","1.51","0.73","2.69",,,,"1","2","Bot",206.83,110.44,,,"424325",,"120522_194546",4.16,-130.43,-6.41,-1.7,25.78,-16.31,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"14","3","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"-0.014","-0.15"
"CU","2012-05-22","71.6","-0.94","6.54","Beachy, Brandon",111867,545404,,"ball",,,,,"14","Miguel Cairo flies out to right fielder Jason Heyward.","R","R","R","CIN","ATL","B",,,"0","1",2012,"0.16","-1.63","0.15","0.34",,,,"1","2","Bot",,,,,"424325",,"120522_194528",1.67,-104.24,-1.41,2.25,20.96,-45.82,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"14","2","Curveball","2","1","2","1","1","2","2","1",,,,"0","0.018"
"SL","2012-05-22","80.6","-0.78","6.58","Beachy, Brandon",111867,545404,,"called_strike",,,,,"9","Miguel Cairo flies out to right fielder Jason Heyward.","R","R","R","CIN","ATL","S",,,"0","0",2012,"0.5","0.07","0.63","2.11",,,,"1","2","Bot",,,,,"424325",,"120522_194515",1.91,-117.31,-3.26,6.45,19.01,-33.42,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"14","1","Slider","2","1","2","1","1","2","2","1",,,,"0","-0.025"
"SL","2012-05-22","79.5","-0.79","6.71","Beachy, Brandon",502317,545404,"field_out","hit_into_play",,,,,"3","Chris Heisey grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","X","6","ground_ball","2","2",2012,"0.29","0.19","0.38","3.07",,,,"0","2","Bot",105.42,158.63,,,"424325",,"120522_194434",1.79,-115.66,-1.41,4.21,16.36,-32.24,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"13","5","Slider","2","1","2","1","1","2","2","1",,,,"-0.02","-0.206"
"FF","2012-05-22","89.4","-0.94","6.36","Beachy, Brandon",502317,545404,,"foul",,,,,"5","Chris Heisey grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","S",,,"2","1",2012,"-0.11","1.67","-0.12","2.24",,,,"0","2","Bot",,,,,"424325",,"120522_194408",2.06,-129.94,-7.79,0.29,25.73,-14.45,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"13","4","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.06"
"SL","2012-05-22","79.9","-0.59","6.63","Beachy, Brandon",502317,545404,,"ball",,,,,"12","Chris Heisey grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","B",,,"1","1",2012,"0.47","0.38","1.61","2.93",,,,"0","2","Bot",,,,,"424325",,"120522_194350",3.8,-116.21,-2.05,6.04,16.22,-30.28,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"13","3","Slider","2","1","2","1","1","2","2","1",,,,"0","0.046"
"CH","2012-05-22","80.6","-1.11","6.38","Beachy, Brandon",502317,545404,,"ball",,,,,"13","Chris Heisey grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","B",,,"0","1",2012,"-1","1.57","-1.03","2.13",,,,"0","2","Bot",,,,,"424325",,"120522_194336",2.04,-117.24,-5.78,-8.66,22.35,-18.82,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"13","2","Changeup","2","1","2","1","1","2","2","1",,,,"0","0.026"
"FF","2012-05-22","89.6","-0.56","6.53","Beachy, Brandon",502317,545404,,"called_strike",,,,,"2","Chris Heisey grounds out, shortstop Tyler Pastornicky to first baseman Freddie Freeman.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.17","1.87","0.14","3.19",,,,"0","2","Bot",,,,,"424325",,"120522_194320",1.88,-130.34,-6.39,-0.46,24.05,-11.75,"3.42","1.57",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"13","1","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.035"
"FF","2012-05-22","92.0","-0.85","6.35","Beachy, Brandon",457803,545404,"field_out","hit_into_play",,,,,"8","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","X","4","ground_ball","1","1",2012,"-0.26","1.66","0.17","1.84",,,,"2","1","Bot",141.57,152.61,,,"424325",,"120522_193208",3.01,-133.66,-9.32,-1.76,28.66,-13.6,"3.72","1.74",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"9","3","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"-0.009","-0.095"
"FF","2012-05-22","90.8","-0.92","6.44","Beachy, Brandon",457803,545404,,"foul",,,,,"3","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","S",,,"1","0",2012,"-0.34","1.66","0.47","3.50",,,,"2","1","Bot",,,,,"424325",,"120522_193047",4.13,-132.19,-5.02,-2.69,26.36,-13.9,"3.72","1.74",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"9","2","4-Seam Fastball","2","1","2","1","1","2","2","1",,,,"0","-0.019"
"CH","2012-05-22","80.6","-1.17","6.13","Beachy, Brandon",457803,545404,,"ball",,,,,"13","Jay Bruce grounds out, second baseman Dan Uggla to first baseman Freddie Freeman.","R","L","R","CIN","ATL","B",,,"0","0",2012,"-1.05","1.5","-0.56","1.36",,,,"2","1","Bot",,,,,"424325",,"120522_193034",3.41,-117.1,-6.93,-9.27,19.5,-19.37,"3.71","1.78",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"9","1","Changeup","2","1","2","1","1","2","2","1",,,,"0","0.015"
"FF","2012-05-22","92.4","-0.68","6.56","Beachy, Brandon",408252,545404,"home_run","hit_into_play",,,,,"2","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","X",,"fly_ball","3","2",2012,"-0.22","2.12","-0.26","2.69","453211",,,"2","1","Bot",127.51,15.06,,,"424325",,"120522_192945",1.33,-134.31,-8.83,-1.14,28.98,-7.61,"3.14","1.5",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"2",,"0","3",,"8","6","4-Seam Fastball","0","1","0","1","1","2","2","1",,,,"0.188","1.755"
"FF","2012-05-22","92.6","-0.57","6.33","Beachy, Brandon",408252,545404,,"blocked_ball",,,,,"14","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","B",,,"2","2",2012,"-0.46","1.7","0.81","0.65","453211",,,"2","1","Bot",,,,,"424325",,"120522_192916",4.51,-134.22,-12.81,-4.39,24.36,-12.64,"3.02","1.45",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"8","5","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","0.07"
"FF","2012-05-22","92.4","-0.75","6.56","Beachy, Brandon",408252,545404,,"ball",,,,,"11","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","B",,,"1","2",2012,"-0.12","1.46","-0.50","3.21","453211",,,"2","1","Bot",,,,,"424325",,"120522_192849",0.67,-134.53,-6.04,0.08,23.5,-15.7,"3.02","1.52",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"8","4","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","0.02"
"SL","2012-05-22","81.1","-0.56","6.46","Beachy, Brandon",408252,545404,,"swinging_strike",,,,,"9","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","S",,,"1","1",2012,"0.33","0.72","0.58","1.70","453211",,,"2","1","Bot",,,,,"424325",,"120522_192820",1.66,-117.99,-5.46,4.76,18.4,-26.89,"3.14","1.5",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"8","3","Slider","0","1","0","1","1","0","0","1",,,,"0","-0.068"
"SL","2012-05-22","80.4","-0.5","6.44","Beachy, Brandon",408252,545404,,"blocked_ball",,,,,"14","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","B",,,"0","1",2012,"0.23","0.22","2.50","0.56","453211",,,"2","1","Bot",,,,,"424325",,"120522_192756",6.17,-116.61,-6.71,3.57,19.34,-31.91,"3.11","1.55",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"8","2","Slider","0","1","0","1","1","0","0","1",,,,"0","0.029"
"FF","2012-05-22","91.1","-0.53","6.64","Beachy, Brandon",408252,545404,,"called_strike",,,,,"2","Brandon Phillips homers (3) on a fly ball to center field.   Drew Stubbs scores.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.07","2.06","-0.08","2.73","453211",,,"2","1","Bot",,,,,"424325",,"120522_192730",1.03,-132.48,-8.48,0.73,28.35,-9.09,"3.05","1.49",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"8","1","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","-0.052"
"CU","2012-05-22","71.3","-0.79","6.7","Beachy, Brandon",458015,545404,"field_out","hit_into_play",,,,,"4","Joey Votto flies out to center fielder Michael Bourn.   Drew Stubbs to 3rd.","R","L","R","CIN","ATL","X","8","fly_ball","2","2",2012,"0.61","-1.46","-0.45","2.60",,"453211",,"1","1","Bot",109.44,58.23,,,"424325",,"120522_192637",-0.72,-103.82,2.56,5.76,18.95,-44.59,"3.51","1.64",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"7","5","Curveball","0","1","0","1","1","0","0","1",,,,"-0.032","-0.259"
"FF","2012-05-22","90.4","-1.12","6.35","Beachy, Brandon",458015,545404,,"ball",,,,,"13","Joey Votto flies out to center fielder Michael Bourn.   Drew Stubbs to 3rd.","R","L","R","CIN","ATL","B",,,"1","2",2012,"0.03","1.68","-1.42","1.88",,,"453211","1","1","Bot",,,,,"424325",,"120522_192558",-1.14,-131.41,-8.96,1.98,26.01,-13.92,"3.54","1.74",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"7","4","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0.016","0.044"
"FF","2012-05-22","89.6","-0.92","6.47","Beachy, Brandon",458015,545404,,"called_strike",,,,,"7","Joey Votto flies out to center fielder Michael Bourn.   Drew Stubbs to 3rd.","R","L","R","CIN","ATL","S",,,"1","1",2012,"0.07","1.75","-0.47","2.17",,,"453211","1","1","Bot",,,,,"424325",,"120522_192531",0.66,-130.24,-8.55,2.55,24.07,-13.3,"3.6","1.7",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"7","3","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","-0.072"
"FF","2012-05-22","89.3","-0.77","6.49","Beachy, Brandon",458015,545404,,"ball",,,,,"4","Joey Votto flies out to center fielder Michael Bourn.   Drew Stubbs to 3rd.","R","L","R","CIN","ATL","B",,,"0","1",2012,"-0.08","1.72","-0.66","2.66",,,"453211","1","1","Bot",,,,,"424325",,"120522_192457",0.17,-129.88,-7.21,0.66,23.8,-13.72,"3.57","1.84",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"7","2","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","0.031"
"FF","2012-05-22","90.0","-0.91","6.41","Beachy, Brandon",458015,545404,,"called_strike",,,,,"4","Joey Votto flies out to center fielder Michael Bourn.   Drew Stubbs to 3rd.","R","L","R","CIN","ATL","S",,,"0","0",2012,"-0.06","1.93","-0.43","2.56",,,"453211","1","1","Bot",,,,,"424325",,"120522_192435",1.07,-130.87,-7.84,0.85,25.56,-10.99,"3.43","1.7",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"7","1","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","-0.047"
"FF","2012-05-22","91.4","-0.6","6.42","Beachy, Brandon",453211,545404,"single","hit_into_play",,,,,"14","Drew Stubbs singles on a ground ball to shortstop Tyler Pastornicky.","R","R","R","CIN","ATL","X","6","ground_ball","1","2",2012,"0","1.84","0.86","2.50",,,,"1","1","Bot",116.47,143.57,,,"424325",,"120522_192345",3.53,-132.81,-8.11,1.69,26.85,-11.53,"3.55","1.64",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0.9",,"1","0",,"6","4","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0.026","0.305"
"SL","2012-05-22","81.3","-0.6","6.58","Beachy, Brandon",453211,545404,,"ball",,,,,"14","Drew Stubbs singles on a ground ball to shortstop Tyler Pastornicky.","R","R","R","CIN","ATL","B",,,"0","2",2012,"-0.05","0.26","1.51","2.03",,,,"1","1","Bot",,,,,"424325",,"120522_192331",4.76,-118.23,-3.9,0.79,21.03,-31.54,"3.6","1.68",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"6","3","Slider","0","1","0","1","1","0","0","1",,,,"0","0.013"
"FF","2012-05-22","90.6","-0.72","6.51","Beachy, Brandon",453211,545404,,"called_strike",,,,,"9","Drew Stubbs singles on a ground ball to shortstop Tyler Pastornicky.","R","R","R","CIN","ATL","S",,,"0","1",2012,"-0.15","1.85","0.32","1.50",,,,"1","1","Bot",,,,,"424325",,"120522_192313",2.75,-131.49,-10.81,-0.27,24.93,-11.74,"3.6","1.55",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"6","2","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","-0.035"
"FF","2012-05-22","90.4","-0.83","6.54","Beachy, Brandon",453211,545404,,"called_strike",,,,,"4","Drew Stubbs singles on a ground ball to shortstop Tyler Pastornicky.","R","R","R","CIN","ATL","S",,,"0","0",2012,"-0.25","1.7","-0.61","2.87",,,,"1","1","Bot",,,,,"424325",,"120522_192300",0.86,-131.49,-6.98,-1.47,25.25,-13.53,"3.57","1.65",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"6","1","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","-0.025"
"SL","2012-05-22","79.0","-0.99","6.59","Beachy, Brandon",446359,545404,"field_out","hit_into_play",,,,,"4","Zack Cozart pops out to catcher David Ross.","R","R","R","CIN","ATL","X","2","popup","1","1",2012,"0.15","-0.13","-0.49","2.64",,,,"0","1","Bot",125.5,195.78,,,"424325",,"120522_192222",0.55,-115.18,-1.34,2.74,18.26,-35.25,"3.39","1.54",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,"0",,"0","0",,"5","3","Slider","0","1","0","1","1","0","0","1",,,,"-0.023","-0.22"
"FF","2012-05-22","89.4","-0.53","6.48","Beachy, Brandon",446359,545404,,"ball",,,,,"14","Zack Cozart pops out to catcher David Ross.","R","R","R","CIN","ATL","B",,,"0","1",2012,"-0.09","1.95","1.28","2.11",,,,"0","1","Bot",,,,,"424325",,"120522_192210",4.55,-129.79,-9.15,0.49,23.41,-10.94,"3.38","1.58",,,,,,,318371,545404,"424325","518692","462564","464433","543629","445988","456422","518792","50",,,,,,,,"5","2","4-Seam Fastball","0","1","0","1","1","0","0","1",,,,"0","0.026"
